,상호명,상권업종대분류명,표준산업분류명,시군구명,도로명주소,경도,위도
3253,참맛부산어묵,소매,기타 식료품 소매업,동래구,부산광역시 동래구 충렬대로249번길 47,129.086681909439,35.2034685195023
3254,단골명장떡집,음식,떡류 제조업,금정구,부산광역시 금정구 서동시장길 46-21,129.100665892129,35.2159705530108
3255,김민주떡갤러리,음식,떡류 제조업,해운대구,부산광역시 해운대구 선수촌로 95,129.117250138915,35.2006664588786
3256,할인마트,소매,기타 음ㆍ식료품 위주 종합 소매업,동래구,부산광역시 동래구 사직로70번길 32,129.057953094055,35.196692128094
3257,복산식품,소매,기타 음ㆍ식료품 위주 종합 소매업,동래구,부산광역시 동래구 칠산로 6,129.092713797654,35.2077769241696
3258,연미상회,소매,기타 음ㆍ식료품 위주 종합 소매업,연제구,부산광역시 연제구 금련로38번길 63,129.093955357908,35.1717734446074
3259,라파플러스,소매,건강 보조식품 소매업,연제구,부산광역시 연제구 아시아드대로19번길 10,129.069113028588,35.186877169658
3260,자연담은떡,음식,떡류 제조업,연제구,부산광역시 연제구 반송로 53,129.085826650715,35.1895407957942
3261,유림할인마트,소매,기타 음ㆍ식료품 위주 종합 소매업,동래구,부산광역시 동래구 시실로 179,129.099209983361,35.2081868405029
3262,형제슈퍼,소매,기타 음ㆍ식료품 위주 종합 소매업,연제구,부산광역시 연제구 중앙대로1251번길 8,129.077791789293,35.1988788087197
3263,대덕유통,소매,기타 음ㆍ식료품 위주 종합 소매업,동래구,부산광역시 동래구 아시아드대로 256,129.06891744307,35.2063127708632
3264,남경슈퍼,소매,기타 음ㆍ식료품 위주 종합 소매업,연제구,부산광역시 연제구 연수로 204-1,129.093102101569,35.1736380040516
3265,롯데할인마트,소매,기타 음ㆍ식료품 위주 종합 소매업,동래구,부산광역시 동래구 석사북로 24,129.061847402243,35.2006061135989
3266,정관장온천장점,소매,건강 보조식품 소매업,동래구,부산광역시 동래구 온천장로 96,129.08355681883,35.2195321120205
3267,남흥마트,소매,기타 음ㆍ식료품 위주 종합 소매업,동래구,부산광역시 동래구 충렬대로428번가길 20-1,129.105551911699,35.1947796420643
3268,한결의원,소매,건강 보조식품 소매업,동래구,부산광역시 동래구 명륜로98번길 12,129.084099386154,35.2025091613725
3269,사직정형외과,소매,건강 보조식품 소매업,동래구,부산광역시 동래구 사직북로 18,129.060763725265,35.1974968157284
3270,광진,소매,슈퍼마켓,금정구,부산광역시 금정구 기찰로22번길 30,129.095675359049,35.2328355527348
3271,우리들슈퍼,소매,기타 음ㆍ식료품 위주 종합 소매업,동래구,부산광역시 동래구 여고로75번길 70,129.071168355905,35.1995865777107
3272,관회양봉원,소매,건강 보조식품 소매업,연제구,부산광역시 연제구 거제대로252번길 7,129.076029541288,35.189321769076
